8,102
80,108
16,98
54,108
47,95
46,94
99,87
48,113
28,69
83,134
94,99
36,93
15,75
77,128
4,120
30,76
95,135
73,110
40,117
56,161
53,95
62,88
92,150
23,72
20,157
44,158
82,113
25,103
58,104
1,81
26,77
86,105
49,83
13,81
22,109
91,79
70,152
45,118
27,108
60,106
93,77
21,100
97,55
75,102
5,126
43,122
11,56
39,117
3,136
61,154
96,111
87,188
67,102
14,102
17,128
66,93
89,97
50,154
33,119
19,122
57,92
51,156
65,81
35,94
31,121
76,110
52,107
69,189
37,68
85,191
34,181
81,112
32,93
12,133
10,71
79,161
42,114
90,99
18,80
78,125
59,109
98,97
100,123
167,0
63,66
9,91
24,88
64,157
55,105
68,100
84,90
88,102
38,83
74,103
6,148
71,114
29,117
2,162
72,76
41,110
7,71
