96,34.11
6,48.92
78,35.76
31,31.05
100,14.87
50,20.22
76,41.72
23,32.56
58,32.49
10,34.01
75,32.17
95,11.36
82,13.65
21,20.85
67,38.73
66,21.23
41,40.90
167,0.00
61,23.38
5,21.16
2,47.24
35,27.87
24,33.21
63,47.48
89,49.06
26,44.56
29,8.79
17,24.02
16,8.33
8,44.62
49,20.25
188,0.00
64,41.55
11,30.13
57,47.48
44,20.71
39,35.83
60,26.28
72,29.86
83,5.36
27,13.75
22,19.87
30,11.55
86,7.60
25,30.66
92,22.97
33,43.96
18,46.48
52,38.92
28,33.38
12,8.39
7,40.78
54,38.16
85,13.39
20,42.92
3,9.81
87,26.13
59,45.03
32,8.03
55,29.14
48,11.05
70,6.50
19,34.79
37,40.88
51,30.17
34,11.84
99,45.10
4,40.29
84,35.23
9,21.38
13,21.77
