title_71_69_,artist_37_37_37,1
title_355_353_,artist_90_90_,1
title_176_174_,artist_60_60_,1
title_58_56_,artist_43_43_43_4,1
title_15_13_,artist_55_55_,2
title_321_319_,artist_10_10_10_1,2
title_303_301_,artist_59_59_59,2
title_320_318_,artist_82_82_,2
title_42_40_,artist_51_51_51_5,1
title_88_86_,artist_49_49_49_4,1
title_283_281_,artist_83_83_83,1
title_70_68_,artist_96_96_,1
title_275_273_,artist_81_81_81_8,1
title_190_188_,artist_95_95_95_9,1
title_152_150_,artist_76_76_76_7,1
title_64_62_,artist_87_87_87_8,1
title_324_322_,artist_51_51_51_5,1
title_448_446_,artist_34_34_34,1
title_467_465_,artist_15_15_15,1
title_307_305_,artist_30_30_,1
title_225_223_,artist_88_88_,1
title_96_94_,artist_93_93_,2
title_25_23_,artist_5_5_5_,1
title_175_173_,artist_78_78_78,1
title_281_279_,artist_7_7_7_,1
title_475_473_,artist_27_27_27_2,1
title_115_113_,artist_78_78_78,1
title_372_370_,artist_43_43_43_4,1
title_233_231_,artist_22_22_,1
title_284_282_,artist_7_7_7_,4
title_339_337_,artist_63_63_,2
title_470_468_,artist_16_16_16_1,1
title_226_224_,artist_73_73_73_7,3
title_179_177_,artist_58_58_,1
title_150_148_,artist_51_51_51_5,2
title_332_330_,artist_18_18_18,1
title_397_395_,artist_17_17_,3
title_252_250_,artist_85_85_,1
title_140_138_,artist_80_80_80,2
title_210_208_,artist_59_59_59,3
title_235_233_,artist_36_36_,1
title_279_277_,artist_61_61_61,1
title_208_206_,artist_36_36_,1
title_137_135_,artist_99_99_,2
title_185_183_,artist_31_31_31,1
title_317_315_,artist_46_46_46_4,1
title_227_225_,artist_79_79_79_7,1
title_376_374_,artist_30_30_,1
title_433_431_,artist_2_2_2_,1
title_207_205_,artist_1_1_1_,1
title_504_502_,artist_48_48_48,1
title_482_480_,artist_91_91_91,1
title_266_264_,artist_85_85_,1
title_164_162_,artist_92_92_92_9,1
title_441_439_,artist_37_37_37,1
title_143_141_,artist_12_12_12,1
title_79_77_,artist_38_38_38_3,1
title_169_167_,artist_96_96_,1
title_472_470_,artist_41_41_,3
title_278_276_,artist_98_98_98_9,1
title_61_59_,artist_62_62_62_6,2
title_172_170_,artist_16_16_16_1,1
title_33_31_,artist_32_32_32_3,1
title_230_228_,artist_75_75_75,1
title_432_430_,artist_81_81_81_8,1
title_124_122_,artist_97_97_97,2
title_418_416_,artist_54_54_54_5,1
title_162_160_,artist_17_17_,1
title_110_108_,artist_69_69_,2
title_144_142_,artist_77_77_,1
title_67_65_,artist_85_85_,1
title_192_190_,artist_54_54_54_5,1
title_197_195_,artist_5_5_5_,2
title_50_48_,artist_5_5_5_,1
title_409_407_,artist_42_42_42,1
title_13_11_,artist_4_4_4_,4
title_142_140_,artist_61_61_61,3
title_493_491_,artist_49_49_49_4,2
title_31_29_,artist_52_52_,1
title_311_309_,artist_17_17_,1
title_366_364_,artist_20_20_20,1
title_309_307_,artist_7_7_7_,2
title_462_460_,artist_80_80_80,3
title_305_303_,artist_91_91_91,1
title_513_511_,artist_42_42_42,2
title_238_236_,artist_15_15_15,2
title_128_126_,artist_40_40_40_4,3
title_440_438_,artist_59_59_59,1
title_20_18_,artist_54_54_54_5,1
title_101_99_,artist_58_58_,3
title_157_155_,artist_42_42_42,2
title_94_92_,artist_93_93_,2
title_286_284_,artist_94_94_94,1
title_161_159_,artist_36_36_,1
title_354_352_,artist_43_43_43_4,1
title_46_44_,artist_53_53_53,1
title_154_152_,artist_76_76_76_7,1
title_80_78_,artist_19_19_19_1,1
title_145_143_,artist_77_77_,1
title_99_97_,artist_3_3_3_,2
title_237_235_,artist_2_2_2_,1
title_359_357_,artist_62_62_62_6,2
title_183_181_,artist_90_90_,2
title_411_409_,artist_21_21_21_2,3
title_265_263_,artist_79_79_79_7,1
title_209_207_,artist_75_75_75,1
title_139_137_,artist_77_77_,2
title_449_447_,artist_1_1_1_,1
