title_117_115_,artist_6_6_6_
title_292_290_,artist_6_6_6_
title_59_57_,artist_6_6_6_
title_214_212_,artist_12_12_12
title_19_17_,artist_18_18_18
title_250_248_,artist_18_18_18
title_332_330_,artist_18_18_18
title_249_247_,artist_27_27_27_2
title_319_317_,artist_3_3_3_
title_309_307_,artist_7_7_7_
title_323_321_,artist_29_29_29
title_358_356_,artist_29_29_29
title_241_239_,artist_30_30_
title_307_305_,artist_30_30_
title_201_199_,artist_68_68_68_6
title_454_452_,artist_68_68_68_6
title_146_144_,artist_85_85_
title_252_250_,artist_85_85_
title_116_114_,artist_92_92_92_9
title_164_162_,artist_92_92_92_9
title_131_129_,artist_37_37_37
title_401_399_,artist_37_37_37
title_14_12_,artist_53_53_53
title_180_178_,artist_66_66_
title_417_415_,artist_66_66_
title_52_50_,artist_66_66_
