title_444_442_,artist_94_94_94,7
title_376_374_,artist_30_30_,4
title_265_263_,artist_79_79_79_7,10
title_1012_1010_,artist_75_75_75,2
title_371_369_,artist_20_20_20,9
title_13_11_,artist_9_9_9_,10
title_404_402_,artist_75_75_75,8
title_444_442_,artist_94_94_94,8
title_101_99_,artist_58_58_,5
title_376_374_,artist_30_30_,10
title_405_403_,artist_60_60_,6
title_186_184_,artist_2_2_2_,1
title_42_40_,artist_51_51_51_5,8
title_416_414_,artist_73_73_73_7,6
title_393_391_,artist_55_55_,8
title_42_40_,artist_51_51_51_5,1
title_307_305_,artist_30_30_,6
title_454_452_,artist_68_68_68_6,9
title_370_368_,artist_40_40_40_4,2
title_1012_1010_,artist_75_75_75,4
title_111_109_,artist_36_36_,8
title_202_200_,artist_73_73_73_7,9
title_95_93_,artist_87_87_87_8,8
title_339_337_,artist_63_63_,1
title_236_234_,artist_52_52_,12
title_305_303_,artist_91_91_91,8
title_305_303_,artist_91_91_91,4
title_265_263_,artist_79_79_79_7,1
title_313_311_,artist_58_58_,4
title_504_502_,artist_48_48_48,4
title_371_369_,artist_20_20_20,6
title_272_270_,artist_93_93_,1
title_482_480_,artist_91_91_91,8
title_370_368_,artist_40_40_40_4,5
title_123_121_,artist_26_26_26,6
title_320_318_,artist_82_82_,4
title_358_356_,artist_29_29_29,3
title_123_121_,artist_26_26_26,10
title_227_225_,artist_79_79_79_7,1
title_405_403_,artist_60_60_,9
title_149_147_,artist_50_50_50,2
title_507_505_,artist_36_36_,1
title_428_426_,artist_11_11_,4
title_385_383_,artist_49_49_49_4,7
title_176_174_,artist_60_60_,11
title_236_234_,artist_52_52_,6
title_149_147_,artist_50_50_50,4
title_358_356_,artist_29_29_29,5
title_416_414_,artist_73_73_73_7,3
title_450_448_,artist_91_91_91,2
title_385_383_,artist_49_49_49_4,8
title_393_391_,artist_55_55_,2
title_278_276_,artist_98_98_98_9,1
title_393_391_,artist_55_55_,1
title_13_11_,artist_9_9_9_,3
title_416_414_,artist_73_73_73_7,1
title_376_374_,artist_30_30_,3
title_482_480_,artist_91_91_91,3
title_111_109_,artist_36_36_,1
title_313_311_,artist_58_58_,2
title_351_349_,artist_11_11_,6
title_255_253_,artist_50_50_50,9
title_16_14_,artist_16_16_16_1,10
title_504_502_,artist_48_48_48,2
title_272_270_,artist_93_93_,5
title_412_410_,artist_9_9_9_,5
title_133_131_,artist_98_98_98_9,2
title_412_410_,artist_9_9_9_,2
title_101_99_,artist_58_58_,9
title_27_25_,artist_98_98_98_9,4
title_110_108_,artist_69_69_,1
title_339_337_,artist_63_63_,3
title_1012_1010_,artist_75_75_75,7
title_21_19_,artist_12_12_12,4
title_233_231_,artist_22_22_,10
title_404_402_,artist_75_75_75,4
title_171_169_,artist_53_53_53,1
title_327_325_,artist_49_49_49_4,7
title_489_487_,artist_54_54_54_5,3
title_171_169_,artist_53_53_53,3
title_27_25_,artist_98_98_98_9,2
title_139_137_,artist_77_77_,5
title_105_103_,artist_84_84_84_8,6
title_278_276_,artist_98_98_98_9,7
title_157_155_,artist_42_42_42,1
title_164_162_,artist_92_92_92_9,11
title_123_121_,artist_26_26_26,9
title_111_109_,artist_36_36_,10
title_393_391_,artist_55_55_,5
title_353_351_,artist_8_8_8_,1
title_313_311_,artist_58_58_,5
title_358_356_,artist_29_29_29,6
title_265_263_,artist_79_79_79_7,9
title_59_57_,artist_6_6_6_,2
title_320_318_,artist_82_82_,8
title_1012_1010_,artist_75_75_75,6
title_278_276_,artist_98_98_98_9,8
title_417_415_,artist_66_66_,1
title_35_33_,artist_59_59_59,4
title_42_40_,artist_51_51_51_5,11
title_412_410_,artist_9_9_9_,4
title_171_169_,artist_53_53_53,2
title_305_303_,artist_91_91_91,11
title_244_242_,artist_47_47_,5
