artist_27_27_27_2,57.14
artist_26_26_26,33.33
artist_85_85_,28.57
artist_55_55_,66.67
artist_20_20_20,37.50
artist_71_71_,50.00
artist_69_69_,0.00
artist_48_48_48,0.00
artist_54_54_54_5,25.00
artist_75_75_75,28.57
artist_70_70_70_7,60.00
artist_62_62_62_6,40.00
artist_19_19_19_1,66.67
artist_97_97_97,66.67
artist_33_33_,0.00
artist_2_2_2_,50.00
artist_40_40_40_4,42.86
artist_1_1_1_,33.33
artist_44_44_,0.00
artist_12_12_12,50.00
artist_95_95_95_9,0.00
artist_46_46_46_4,57.14
artist_42_42_42,50.00
artist_67_67_67,0.00
artist_47_47_,40.00
artist_52_52_,50.00
artist_63_63_,33.33
artist_34_34_34,44.44
artist_32_32_32_3,33.33
artist_29_29_29,50.00
artist_25_25_,50.00
artist_37_37_37,55.56
artist_8_8_8_,75.00
artist_49_49_49_4,14.29
artist_99_99_,100.00
artist_98_98_98_9,16.67
artist_50_50_50,0.00
artist_59_59_59,30.00
artist_14_14_,100.00
artist_78_78_78,33.33
artist_15_15_15,50.00
artist_45_45_45,100.00
artist_53_53_53,60.00
artist_80_80_80,40.00
artist_76_76_76_7,62.50
artist_31_31_31,75.00
artist_100_100_1,0.00
artist_57_57_57_5,0.00
artist_24_24_24_2,66.67
artist_77_77_,33.33
artist_39_39_,0.00
artist_21_21_21_2,50.00
artist_66_66_,16.67
artist_81_81_81_8,50.00
artist_58_58_,0.00
artist_93_93_,20.00
artist_61_61_61,71.43
artist_5_5_5_,25.00
artist_89_89_89,0.00
artist_16_16_16_1,50.00
artist_3_3_3_,60.00
artist_74_74_,0.00
artist_79_79_79_7,27.27
artist_41_41_,25.00
artist_43_43_43_4,28.57
artist_51_51_51_5,60.00
artist_94_94_94,40.00
artist_23_23_23,50.00
artist_17_17_,28.57
artist_96_96_,33.33
artist_72_72_72,25.00
artist_73_73_73_7,50.00
artist_38_38_38_3,66.67
artist_4_4_4_,42.86
artist_86_86_86,0.00
artist_11_11_,20.00
artist_18_18_18,0.00
artist_30_30_,40.00
artist_22_22_,50.00
artist_13_13_13_1,42.86
artist_56_56_56,50.00
artist_83_83_83,25.00
artist_82_82_,33.33
artist_90_90_,20.00
artist_7_7_7_,0.00
artist_88_88_,66.67
artist_84_84_84_8,50.00
artist_10_10_10_1,100.00
artist_36_36_,28.57
artist_91_91_91,28.57
artist_87_87_87_8,66.67
artist_65_65_65_6,33.33
artist_68_68_68_6,33.33
artist_9_9_9_,0.00
artist_60_60_,30.00
artist_6_6_6_,57.14
artist_35_35_35_3,75.00
artist_92_92_92_9,50.00
