43,26,26.50
8,27,18.71
11,27,22.42
80,14,16.76
16,20,31.58
39,20,15.53
54,33,20.10
3,19,21.43
47,22,20.37
61,21,19.91
96,19,26.04
67,19,30.11
87,24,22.84
14,16,12.76
99,17,30.00
46,19,14.89
48,28,24.50
17,21,22.18
83,22,19.29
28,18,27.58
94,30,21.82
36,25,23.93
15,19,22.85
66,10,21.31
77,12,22.17
4,17,25.46
30,21,13.43
89,21,25.06
50,14,22.42
33,37,23.51
95,16,29.15
73,16,24.61
56,22,26.91
40,14,23.90
53,24,14.89
62,12,19.55
19,16,20.88
57,20,22.94
51,21,28.48
92,22,24.81
23,22,29.36
35,13,17.97
31,16,17.16
65,18,19.51
76,20,23.73
52,29,25.21
69,27,20.67
20,15,18.61
44,19,26.28
37,14,28.73
85,26,29.39
34,16,20.65
82,18,19.02
81,30,17.48
25,21,21.80
32,21,20.86
12,19,25.97
58,22,24.05
1,26,22.53
10,17,19.54
79,15,27.98
26,22,24.56
42,23,20.47
90,19,21.74
18,18,26.09
59,23,24.55
78,23,26.34
98,13,23.40
111,1,0.00
100,13,23.35
86,23,23.07
49,13,19.98
13,13,23.12
63,21,18.91
22,17,37.30
9,19,17.46
24,23,22.68
91,16,20.21
64,17,21.73
70,15,22.84
45,17,23.89
55,25,28.81
27,16,19.53
68,23,24.25
84,23,20.49
88,13,25.51
38,27,22.93
60,24,30.89
74,22,19.32
6,18,20.03
71,18,25.62
29,22,22.83
93,16,21.14
2,21,36.79
21,24,23.51
72,16,28.38
97,16,18.35
41,18,22.03
75,24,25.12
5,16,19.64
7,25,19.86
