8,146
80,89
16,142
54,59
47,68
99,126
46,101
48,78
28,123
83,134
36,66
94,71
15,105
77,146
30,88
4,145
95,141
73,102
40,96
56,75
53,92
62,72
92,88
23,145
20,151
44,106
82,110
25,120
58,73
1,88
26,125
86,118
13,109
49,102
22,97
91,124
70,177
45,154
27,123
60,79
93,208
21,62
97,130
75,142
5,175
43,62
11,109
39,95
3,110
61,113
96,68
67,129
87,97
14,76
17,90
66,129
89,80
50,96
33,91
19,117
57,84
51,74
65,127
35,165
31,158
52,62
76,75
69,68
37,148
85,72
34,101
81,53
32,116
12,97
10,89
79,123
42,99
90,127
18,128
59,94
78,108
98,144
100,158
63,162
9,88
24,76
64,96
55,118
68,106
84,89
88,141
38,82
74,83
6,159
71,122
29,73
2,138
72,107
41,70
7,80
