43,17,25.47
8,16,20.87
11,18,17.63
80,17,18.88
39,21,20.44
16,22,23.41
54,15,31.71
112,0,
3,15,22.26
47,21,18.83
115,0,
61,23,21.80
96,16,30.72
87,15,18.02
67,17,19.58
14,26,21.07
99,14,21.37
46,18,23.80
48,18,20.77
28,22,28.11
83,16,19.96
17,23,27.58
36,17,16.69
94,19,21.37
15,31,20.15
77,16,18.93
66,24,21.27
89,21,24.58
30,18,21.85
4,20,26.07
50,24,21.68
73,19,28.06
95,15,17.98
33,17,21.93
56,23,13.14
40,26,22.69
53,24,22.63
62,15,19.60
19,19,25.13
57,18,26.74
51,15,19.01
92,16,18.76
23,22,27.22
65,21,18.83
31,15,26.64
35,16,28.73
52,12,20.79
76,19,17.43
20,11,16.39
69,21,23.20
44,13,20.53
37,23,18.85
85,21,26.88
34,25,19.10
82,30,25.45
81,20,22.11
32,23,20.15
25,21,28.37
12,25,23.29
58,22,21.05
1,20,25.15
79,21,21.39
10,14,25.95
26,26,26.38
42,25,25.63
90,19,26.72
18,22,28.09
78,23,22.61
59,22,22.68
98,24,17.11
100,28,19.00
86,18,20.57
13,18,29.12
49,22,25.01
22,14,21.40
63,19,22.88
9,26,27.14
24,20,24.96
91,23,23.71
70,24,23.69
64,25,24.90
45,17,22.27
27,16,20.36
55,16,20.11
68,18,20.55
84,15,28.41
88,21,24.59
38,22,19.60
155,2,0.00
60,20,23.27
74,18,18.32
6,21,24.57
71,21,20.77
29,24,25.13
93,19,22.75
21,25,25.02
2,27,22.92
72,20,17.85
97,19,23.73
41,21,25.02
75,24,18.33
5,24,25.12
7,12,25.54
