52,27.52
87,12.44
37,31.80
90,14.24
47,7.19
97,18.94
42,39.51
74,0.00
25,29.06
59,8.66
155,0.00
38,0.00
100,31.37
84,0.00
33,24.01
27,0.00
78,11.53
73,27.94
86,41.16
65,48.72
23,44.01
6,41.73
18,16.27
15,36.65
21,25.62
36,18.48
95,38.97
85,42.54
20,9.89
79,13.99
83,5.32
77,5.27
46,26.21
50,33.09
99,11.01
26,25.21
44,0.00
92,31.86
69,0.00
93,41.75
8,23.60
56,5.08
67,28.18
81,24.84
55,30.00
58,35.44
35,11.03
41,23.78
11,18.40
68,14.99
96,0.00
3,17.94
82,42.57
45,45.31
115,0.00
48,19.54
112,0.00
32,20.06
22,40.94
76,42.01
16,0.00
19,8.08
80,0.00
10,9.63
98,23.51
94,34.79
72,34.36
51,7.65
